"n","k","time"
"50","5","0.00012609999999403955"
"50","5","0.00004100000113248825"
"50","5","0.00003819999843835831"
"50","5","0.000037999998778104784"
"50","5","0.00003260000050067901"
"50","10","0.00005179999954998493"
"50","10","0.00003139999881386757"
"50","10","0.00003449999913573265"
"50","10","0.00003789999894797802"
"50","10","0.000035599999129772185"
"50","50","0.00007120000012218953"
"50","50","0.00003639999963343143"
"50","50","0.00004000000096857548"
"50","50","0.00003150000050663948"
"50","50","0.000029600000008940698"
"50","100","0.00017270000092685223"
"50","100","0.000024999998509883882"
"50","100","0.00003150000050663948"
"50","100","0.00002410000003874302"
"50","100","0.00004009999893605709"
"50","1000","0.00003460000082850456"
"50","1000","0.00003089999966323376"
"50","1000","0.000035900000482797625"
"50","1000","0.000033900000154972075"
"50","1000","0.00003539999946951866"
"100","5","0.000084799999371171"
"100","5","0.00012140000052750111"
"100","5","0.00001559999957680702"
"100","5","0.0000142000000923872"
"100","5","0.000016300000250339507"
"100","10","0.000022299999371170997"
"100","10","0.000019100001081824304"
"100","10","0.000015799999237060546"
"100","10","0.000015700001269578933"
"100","10","0.000012700000777840615"
"100","50","0.000018999999389052392"
"100","50","0.000018300000578165053"
"100","50","0.000015799999237060546"
"100","50","0.00001809999905526638"
"100","50","0.000019700000062584877"
"100","100","0.00002099999971687794"
"100","100","0.00001600000075995922"
"100","100","0.000020099999383091926"
"100","100","0.000015399999916553497"
"100","100","0.000019500000402331353"
"100","1000","0.000014600001275539398"
"100","1000","0.000023299999535083772"
"100","1000","0.00001980000175535679"
"100","1000","0.000021300001069903375"
"100","1000","0.000025600001215934755"
"500","5","0.00014429999887943267"
"500","5","0.00009500000067055226"
"500","5","0.00009789999946951866"
"500","5","0.000786199999973178"
"500","5","0.00006500000134110451"
"500","10","0.00007379999943077564"
"500","10","0.00008770000003278255"
"500","10","0.00008149999938905239"
"500","10","0.0000835999995470047"
"500","10","0.00009350000135600566"
"500","50","0.00005780000053346157"
"500","50","0.00005200000107288361"
"500","50","0.0000568000003695488"
"500","50","0.00004360000044107437"
"500","50","0.0000414000004529953"
"500","100","0.00004299999959766865"
"500","100","0.000038000000640749934"
"500","100","0.000035599999129772185"
"500","100","0.00002969999983906746"
"500","100","0.000035500001162290576"
"500","1000","0.00004320000112056732"
"500","1000","0.00004199999943375588"
"500","1000","0.00004089999943971634"
"500","1000","0.00004059999994933605"
"500","1000","0.00003880000114440918"
"1000","5","0.00008960000053048134"
"1000","5","0.0000975000001490116"
"1000","5","0.00010779999941587448"
"1000","5","0.00012080000154674053"
"1000","5","0.00010219999961555005"
"1000","10","0.00009870000183582307"
"1000","10","0.00012310000136494636"
"1000","10","0.00008060000091791153"
"1000","10","0.0002826999984681606"
"1000","10","0.00008650000020861626"
"1000","50","0.00012719999998807906"
"1000","50","0.00012660000100731848"
"1000","50","0.00008419999852776527"
"1000","50","0.00011099999956786633"
"1000","50","0.00009329999983310699"
"1000","100","0.00025590000115334986"
"1000","100","0.00008640000037848949"
"1000","100","0.00008550000004470349"
"1000","100","0.0001275000013411045"
"1000","100","0.00009480000101029872"
"1000","1000","0.00015969999879598617"
"1000","1000","0.00008939999900758266"
"1000","1000","0.0002828999999910593"
"1000","1000","0.00013109999895095825"
"1000","1000","0.00014839999936521053"
"5000","5","0.0007995000015944242"
"5000","5","0.0009197000004351139"
"5000","5","0.0008307000007480383"
"5000","5","0.0006066000014543533"
"5000","5","0.0008957000002264977"
"5000","10","0.0005570000000298023"
"5000","10","0.0006739000007510186"
"5000","10","0.0007781999986618758"
"5000","10","0.0007355000004172325"
"5000","10","0.0008617000002413988"
"5000","50","0.0006516000013798475"
"5000","50","0.0005901999995112419"
"5000","50","0.0005154999997466803"
"5000","50","0.0007140000015497208"
"5000","50","0.0007384999990463257"
"5000","100","0.0005450999997556209"
"5000","100","0.0010460999999195337"
"5000","100","0.0007092000003904105"
"5000","100","0.0008113000001758337"
"5000","100","0.0010650000013411045"
"5000","1000","0.0005777000002563"
"5000","1000","0.0006351999994367361"
"5000","1000","0.0005113000012934208"
"5000","1000","0.0006664999984204769"
"5000","1000","0.0005336000006645918"
"10000","5","0.001694599999114871"
"10000","5","0.0014745999984443188"
"10000","5","0.0014864000007510185"
"10000","5","0.001537000000476837"
"10000","5","0.0015110999997705221"
"10000","10","0.0014637000001966954"
"10000","10","0.0018687999993562698"
"10000","10","0.0012261999994516372"
"10000","10","0.0011533000003546476"
"10000","10","0.0013037999998778106"
"10000","50","0.0014144000001251697"
"10000","50","0.0013657000008970499"
"10000","50","0.001265199998393655"
"10000","50","0.001458499999716878"
"10000","50","0.0011596000008285046"
"10000","100","0.0011297000013291835"
"10000","100","0.0012949999999254942"
"10000","100","0.0012946999985724687"
"10000","100","0.001385599998757243"
"10000","100","0.001753499999642372"
"10000","1000","0.0017565999999642372"
"10000","1000","0.0011333999987691642"
"10000","1000","0.0014844999983906746"
"10000","1000","0.001086499998345971"
"10000","1000","0.0011940999999642372"
"50000","5","0.010842199999839068"
"50000","5","0.010205900000408292"
"50000","5","0.010182900000363588"
"50000","5","0.009325499998405576"
"50000","5","0.009017099998891354"
"50000","10","0.016484300000593068"
"50000","10","0.010042299998924135"
"50000","10","0.010183499999344349"
"50000","10","0.010115300001576543"
"50000","10","0.010233200000599027"
"50000","50","0.010619100000709295"
"50000","50","0.009310499999672175"
"50000","50","0.00912559999898076"
"50000","50","0.008524900000542403"
"50000","50","0.00910050000064075"
"50000","100","0.00879619999974966"
"50000","100","0.008336900001391768"
"50000","100","0.009918899999931455"
"50000","100","0.009034099999815226"
"50000","100","0.008943299999460579"
"50000","1000","0.007968299999833107"
"50000","1000","0.009629100000485778"
"50000","1000","0.00894290000014007"
"50000","1000","0.01016050000116229"
"50000","1000","0.009113600000739097"
"100000","5","0.018262799998745322"
"100000","5","0.018074799999594687"
"100000","5","0.01976659999974072"
"100000","5","0.017506699999794362"
"100000","5","0.020977400001138447"
"100000","10","0.0180168999992311"
"100000","10","0.01903319999948144"
"100000","10","0.018897700000554324"
"100000","10","0.01768129999935627"
"100000","10","0.018431499999016523"
"100000","50","0.018098399998620153"
"100000","50","0.018086899999529123"
"100000","50","0.018627599999308585"
"100000","50","0.018813699999824168"
"100000","50","0.018472500000149012"
"100000","100","0.022543300000950693"
"100000","100","0.02351009999960661"
"100000","100","0.020861600000411273"
"100000","100","0.06442820000089705"
"100000","100","0.04939919999986887"
"100000","1000","0.027563500000163912"
"100000","1000","0.030234600000083448"
"100000","1000","0.024315600000321864"
"100000","1000","0.021627200001850724"
"100000","1000","0.026176999999210238"
"500000","5","0.10671519999951125"
"500000","5","0.11173080000095069"
"500000","5","0.10437890000082553"
"500000","5","0.09584530000016094"
"500000","5","0.09950239999964833"
"500000","10","0.09798039999976754"
"500000","10","0.09718140000104904"
"500000","10","0.09410730000026524"
"500000","10","0.09687160000018775"
"500000","10","0.09522350000031292"
"500000","50","0.09683669999986887"
