"n","k","time"
"50","5","0.000052099999040365216"
"50","5","0.00000989999994635582"
"50","5","0.000011400001123547554"
"50","5","0.000010300001129508018"
"50","5","0.000008400000631809235"
"50","10","0.000008899999782443046"
"50","10","0.000014000000432133675"
"50","10","0.000009700000286102295"
"50","10","0.000011300001293420791"
"50","10","0.000013599999248981477"
"50","50","0.000010399999096989632"
"50","50","0.00000559999980032444"
"50","50","0.000006599999964237213"
"50","50","0.000005799999460577965"
"50","50","0.000005500001832842827"
"50","100","0.000004399999976158142"
"50","100","0.000006500000134110451"
"50","100","0.000005100000649690628"
"50","100","0.000005699999630451203"
"50","100","0.000006100000813603401"
"50","1000","0.000005799999460577965"
"50","1000","0.000006500000134110451"
"50","1000","0.000005800001323223114"
"50","1000","0.00000860000029206276"
"50","1000","0.000002199999988079071"
"100","5","0.000002100000157952309"
"100","5","0.0000014999993145465852"
"100","5","0.0000038000009953975676"
"100","5","0.000002499999478459358"
"100","5","0.0000022999998182058336"
"100","10","0.0000025999993085861207"
"100","10","0.0000022999998182058336"
"100","10","0.000002199999988079071"
"100","10","0.0000022999998182058336"
"100","10","0.0000022999998182058336"
"100","50","0.000005899999290704727"
"100","50","0.0000017000008374452592"
"100","50","0.000002100000157952309"
"100","50","0.0000032000001519918443"
"100","50","0.0000016000010073184968"
"100","100","0.000002100000157952309"
"100","100","0.0000018999986350536346"
"100","100","0.0000025999993085861207"
"100","100","0.0000017000008374452592"
"100","100","0.0000017999988049268722"
"100","1000","0.000002000000327825546"
"100","1000","0.000002000000327825546"
"100","1000","0.0000015000011771917343"
"100","1000","0.000003399999812245369"
"100","1000","0.000001400001347064972"
"500","5","0.000005799999460577965"
"500","5","0.000004999998956918716"
"500","5","0.000004999998956918716"
"500","5","0.000008400000631809235"
"500","5","0.000006800001487135887"
"500","10","0.000005000000819563866"
"500","10","0.0000046999994665384295"
"500","10","0.000004599999636411667"
"500","10","0.0000071000009775161745"
"500","10","0.000006200000643730163"
"500","50","0.000008399998769164086"
"500","50","0.000007500000298023224"
"500","50","0.000008700000122189522"
"500","50","0.000006000000983476639"
"500","50","0.000007500000298023224"
"500","100","0.000006999999284744263"
"500","100","0.000006300000473856926"
"500","100","0.000005400000140070915"
"500","100","0.000004999998956918716"
"500","100","0.000007699999958276749"
"500","1000","0.00013319999910891056"
"500","1000","0.00010859999991953372"
"500","1000","0.000102700000628829"
"500","1000","0.00008460000157356262"
"500","1000","0.00009649999998509883"
"1000","5","0.000026599999517202377"
"1000","5","0.000039000000804662705"
"1000","5","0.00003889999911189079"
"1000","5","0.00003060000017285347"
"1000","5","0.000028599999845027923"
"1000","10","0.00007899999991059304"
"1000","10","0.000020000001415610313"
"1000","10","0.00003130000084638596"
"1000","10","0.000027899999171495438"
"1000","10","0.000004599999636411667"
"1000","50","0.000021800000220537186"
"1000","50","0.000022199999541044235"
"1000","50","0.000020099999383091926"
"1000","50","0.000015700001269578933"
"1000","50","0.000019100001081824304"
"1000","100","0.000018400000408291815"
"1000","100","0.00002249999903142452"
"1000","100","0.00001559999957680702"
"1000","100","0.000015000000596046448"
"1000","100","0.000021299999207258225"
"1000","1000","0.000018500000238418578"
"1000","1000","0.00001720000058412552"
"1000","1000","0.00001720000058412552"
"1000","1000","0.000016999999061226845"
"1000","1000","0.00001510000042617321"
"5000","5","0.00006479999981820583"
"5000","5","0.00002730000019073486"
"5000","5","0.000026000000536441803"
"5000","5","0.000033500000834465026"
"5000","5","0.00003619999997317791"
"5000","10","0.000032199999317526815"
"5000","10","0.0000276000015437603"
"5000","10","0.000036900000646710396"
"5000","10","0.00003780000098049641"
"5000","10","0.00002889999933540821"
"5000","50","0.00004050000011920929"
"5000","50","0.000027099998667836188"
"5000","50","0.000049300000071525575"
"5000","50","0.0000471000000834465"
"5000","50","0.000059599999338388445"
"5000","100","0.00007679999992251396"
"5000","100","0.00003610000014305115"
"5000","100","0.00004269999824464321"
"5000","100","0.000040700001642107965"
"5000","100","0.00003329999931156635"
"5000","1000","0.00004609999991953373"
"5000","1000","0.0001176999993622303"
"5000","1000","0.00004309999942779541"
"5000","1000","0.00007399999909102917"
"5000","1000","0.0000844999998807907"
"10000","5","0.00011369999870657921"
"10000","5","0.00009439999982714653"
"10000","5","0.00010300000011920929"
"10000","5","0.00008090000040829182"
"10000","5","0.00009530000016093255"
"10000","10","0.00011280000023543834"
"10000","10","0.00010500000044703484"
"10000","10","0.00010660000145435334"
"10000","10","0.00015149999968707561"
"10000","10","0.00009970000013709068"
"10000","50","0.0002251999992877245"
"10000","50","0.00010669999942183494"
"10000","50","0.0000783000010997057"
"10000","50","0.00008719999901950359"
"10000","50","0.0000934000015258789"
"10000","100","0.00009579999931156635"
"10000","100","0.00010649999976158142"
"10000","100","0.00006919999979436397"
"10000","100","0.00009610000066459179"
"10000","100","0.0001354999989271164"
"10000","1000","0.00015280000120401383"
"10000","1000","0.00008909999951720237"
"10000","1000","0.0001263999994844198"
"10000","1000","0.00007320000045001507"
"10000","1000","0.00008799999952316284"
"50000","5","0.00019989999942481517"
"50000","5","0.000286999998614192"
"50000","5","0.00023700000159442426"
"50000","5","0.00021460000053048135"
"50000","5","0.00025399999879300596"
"50000","10","0.0002610999997705221"
"50000","10","0.0002473000008612871"
"50000","10","0.00033770000003278256"
"50000","10","0.00024580000154674056"
"50000","10","0.00017290000058710575"
"50000","50","0.0002580999992787838"
"50000","50","0.0002144000008702278"
"50000","50","0.0001415999997407198"
"50000","50","0.0002601999994367361"
"50000","50","0.00022329999879002572"
"50000","100","0.00030730000138282776"
"50000","100","0.00016320000030100345"
"50000","100","0.00016440000012516974"
"50000","100","0.00020890000090003014"
"50000","100","0.00019089999981224538"
"50000","1000","0.00027969999983906745"
"50000","1000","0.00025310000032186507"
"50000","1000","0.00015070000104606152"
"50000","1000","0.00031420000083744523"
"50000","1000","0.00046939999982714654"
"100000","5","0.0005575999990105628"
"100000","5","0.0005181000009179115"
"100000","5","0.0004978999998420477"
"100000","5","0.0004954000003635883"
"100000","5","0.0007206999994814396"
"100000","10","0.0004928999990224839"
"100000","10","0.0007064999993890524"
"100000","10","0.000708499999716878"
"100000","10","0.000917000001296401"
"100000","10","0.0008554999995976687"
"100000","50","0.0005088999997824431"
"100000","50","0.000821500001475215"
"100000","50","0.0004977000001817942"
"100000","50","0.0007415999993681908"
"100000","50","0.0005445000007748604"
"100000","100","0.0009872000012546777"
"100000","100","0.0009525000005960464"
"100000","100","0.0010137000009417534"
"100000","100","0.0011422000005841255"
"100000","100","0.0011654000002890826"
"100000","1000","0.00454700000025332"
"100000","1000","0.0010573999993503094"
"100000","1000","0.0010227000005543232"
"100000","1000","0.001008899999782443"
"100000","1000","0.0011471000015735625"
"500000","5","0.0025439999997615816"
"500000","5","0.0027545999996364118"
"500000","5","0.002228900000452995"
"500000","5","0.002709400000050664"
"500000","5","0.0021264999993145465"
"500000","10","0.001787900000810623"
"500000","10","0.0017640000004321337"
"500000","10","0.0017813999988138675"
"500000","10","0.0022905000001192093"
"500000","10","0.0024100999999791383"
"500000","50","0.002182099999859929"
"500000","50","0.002214600000530481"
"500000","50","0.0021644000001251698"
"500000","50","0.0021852000001817942"
"500000","50","0.0017455000001937151"
"500000","100","0.0021497000008821486"
"500000","100","0.002172800000756979"
"500000","100","0.003127199999988079"
"500000","100","0.0018418000005185604"
"500000","100","0.0023245000001043082"
"500000","1000","0.0017288000006228685"
"500000","1000","0.0016962999999523163"
