"n","k","time"
"50","5","0.00005517999976873398"
"50","10","0.00003823999911546707"
"50","50","0.000041740000247955326"
"50","100","0.00005867999978363514"
"50","1000","0.00003414000011980533"
"100","5","0.00005045999996364117"
"100","10","0.00001712000034749508"
"100","50","0.00001817999966442585"
"100","100","0.000018400000035762788"
"100","1000","0.000020920000970363617"
"500","5","0.0002376800000667572"
"500","10","0.00008401999995112418"
"500","50","0.00005032000057399273"
"500","100","0.00003636000007390976"
"500","1000","0.00004110000021755696"
"1000","5","0.0001035800002515316"
"1000","10","0.0001343200005590916"
"1000","50","0.00010845999978482722"
"1000","100","0.0001300200007855892"
"1000","1000","0.0001622999992221594"
"5000","5","0.0008104400008916854"
"5000","10","0.0007212600000202655"
"5000","50","0.0006419600002467632"
"5000","100","0.0008353400003165007"
"5000","1000","0.0005848600000143052"
"10000","5","0.0015407399997115136"
"10000","10","0.001403159999847412"
"10000","50","0.0013326799999922514"
"10000","100","0.0013716999996453523"
"10000","1000","0.001331019999086857"
"50000","5","0.009914719999581574"
"50000","10","0.011411720000207425"
"50000","50","0.009336120000109078"
"50000","100","0.009005880000069738"
"50000","1000","0.009162880000472069"
"100000","5","0.018917659999802706"
"100000","10","0.01841211999952793"
"100000","50","0.01841981999948621"
"100000","100","0.03614848000034689"
"100000","1000","0.02598358000032604"
"500000","5","0.10363452000021936"
"500000","10","0.0962728400003165"
"500000","50","0.09711667999997735"
"500000","100","0.1034897600002587"
"500000","1000","0.1042554800003767"
"1000000","5","0.20341424000002442"
"1000000","10","0.206407119999826"
"1000000","50","0.2025642199996859"
"1000000","100","0.20416696000024676"
"1000000","1000","0.20204697999991478"
"5000000","5","1.1558997999995948"
"5000000","10","1.157094539999962"
"5000000","50","1.2061431599996986"
"5000000","100","1.1583170000001788"
"5000000","1000","1.1512147400002928"
"10000000","5","2.4466138000000273"
"10000000","10","2.4444125199995934"
"10000000","50","2.4634327600009738"
"10000000","100","2.438218940000236"
"10000000","1000","2.4777427400007843"
"20000000","5","5.256907580000907"
"20000000","10","5.255439340000227"
"20000000","50","5.206539719999954"
"20000000","100","5.241232620000094"
"20000000","1000","5.260092640000209"
"50000000","5","13.772062060000001"
"50000000","10","13.816544640000165"
"50000000","50","13.799877380000055"
"50000000","100","13.725433240000532"
"50000000","1000","13.914856060002"
