"n","k","time"
"50","5","0.00018520000018179417"
"50","5","0.000021800000220537186"
"50","5","0.000018000001087784767"
"50","5","0.000015699999406933784"
"50","5","0.000027800001204013826"
"50","10","0.000015000000596046448"
"50","10","0.0000142000000923872"
"50","10","0.00001669999957084656"
"50","10","0.000016899999231100083"
"50","10","0.000013700000941753387"
"50","50","0.000023099999874830247"
"50","50","0.000013900000602006913"
"50","50","0.000014000000432133675"
"50","50","0.000019200000911951066"
"50","50","0.000013499999418854713"
"50","100","0.000011099999770522117"
"50","100","0.000010700000450015068"
"50","100","0.000014299999922513962"
"50","100","0.000014299999922513962"
"50","100","0.000017999999225139617"
"50","1000","0.00005529999919235706"
"50","1000","0.0000210999995470047"
"50","1000","0.000014999998733401299"
"50","1000","0.000014899998903274537"
"50","1000","0.000011400001123547554"
"100","5","0.000010399999096989632"
"100","5","0.000005300000309944153"
"100","5","0.00000430000014603138"
"100","5","0.000004000000655651092"
"100","5","0.00000779999978840351"
"100","10","0.000006800001487135887"
"100","10","0.000005400000140070915"
"100","10","0.000005400000140070915"
"100","10","0.0000054999999701976775"
"100","10","0.000007400000467896461"
"100","50","0.000005999999120831489"
"100","50","0.00000779999978840351"
"100","50","0.000005799999460577965"
"100","50","0.00003509999997913838"
"100","50","0.000006000000983476639"
"100","100","0.000008299998939037323"
"100","100","0.000006500000134110451"
"100","100","0.00000520000047981739"
"100","100","0.0000049000009894371035"
"100","100","0.0000032999999821186065"
"100","1000","0.0000029999986290931703"
"100","1000","0.000004499999806284904"
"100","1000","0.0000031000003218650817"
"100","1000","0.000002900000661611557"
"100","1000","0.000004399999976158142"
"500","5","0.000022300001233816146"
"500","5","0.000018600000068545343"
"500","5","0.00001889999955892563"
"500","5","0.00003370000049471855"
"500","5","0.000045899998396635055"
"500","10","0.00002330000139772892"
"500","10","0.00001979999989271164"
"500","10","0.000017399998381733894"
"500","10","0.000015700001269578933"
"500","10","0.000015399999916553497"
"500","50","0.000028100000694394112"
"500","50","0.000015300000086426735"
"500","50","0.000023399999365210534"
"500","50","0.000015200000256299973"
"500","50","0.00001339999958872795"
"500","100","0.000013199999928474426"
"500","100","0.000012400001287460327"
"500","100","0.000012199999764561653"
"500","100","0.000011799998581409454"
"500","100","0.000011200001463294029"
"500","1000","0.000026600001379847526"
"500","1000","0.00001339999958872795"
"500","1000","0.000016400000080466272"
"500","1000","0.00002290000021457672"
"500","1000","0.000015399999916553497"
"1000","5","0.000043800000101327896"
"1000","5","0.00004460000060498714"
"1000","5","0.00004920000024139881"
"1000","5","0.00004700000025331974"
"1000","5","0.000047299999743700025"
"1000","10","0.000052400000393390656"
"1000","10","0.000058000000193715094"
"1000","10","0.000050999999046325686"
"1000","10","0.000040799999609589574"
"1000","10","0.00006049999967217445"
"1000","50","0.00005430000089108944"
"1000","50","0.00005040000006556511"
"1000","50","0.00003449999913573265"
"1000","50","0.0000328999999910593"
"1000","50","0.000045600000768899915"
"1000","100","0.000044599998742341994"
"1000","100","0.00004869999922811985"
"1000","100","0.00004120000079274177"
"1000","100","0.000037000000476837155"
"1000","100","0.00006929999962449074"
"1000","1000","0.00006859999895095825"
"1000","1000","0.000052800001576542854"
"1000","1000","0.00006080000102519989"
"1000","1000","0.000038999998942017556"
"1000","1000","0.000048299999907612804"
"5000","5","0.00026410000026226045"
"5000","5","0.00037040000036358834"
"5000","5","0.00026850000023841857"
"5000","5","0.0002551000006496906"
"5000","5","0.000303999999538064"
"5000","10","0.0002595000006258488"
"5000","10","0.00026129999943077565"
"5000","10","0.0002993000000715256"
"5000","10","0.00025960000045597556"
"5000","10","0.000319599999114871"
"5000","50","0.00025819999910891054"
"5000","50","0.00025960000045597556"
"5000","50","0.0002538999989628792"
"5000","50","0.00043489999882876876"
"5000","50","0.0004654000010341406"
"5000","100","0.0003728000000119209"
"5000","100","0.0003706999998539686"
"5000","100","0.00032679999992251394"
"5000","100","0.00029419999942183493"
"5000","100","0.00024699999950826166"
"5000","1000","0.0002476000003516674"
"5000","1000","0.00024809999950230123"
"5000","1000","0.0004868000000715256"
"5000","1000","0.00024679999984800817"
"5000","1000","0.0003511999994516373"
"10000","5","0.0008498000018298626"
"10000","5","0.0006127000004053116"
"10000","5","0.0006220999993383884"
"10000","5","0.0006609999984502793"
"10000","5","0.0005542000010609627"
"10000","10","0.000636600000783801"
"10000","10","0.0006408000010997057"
"10000","10","0.0006023999992758036"
"10000","10","0.0006859000008553267"
"10000","10","0.0005608999989926814"
"10000","50","0.0005712999999523163"
"10000","50","0.0005540000014007091"
"10000","50","0.0007910000011324882"
"10000","50","0.0006334000006318093"
"10000","50","0.0005449000000953675"
"10000","100","0.0005472999997437"
"10000","100","0.0006368000004440546"
"10000","100","0.0005769999995827675"
"10000","100","0.0005783999990671873"
"10000","100","0.0006578000001609325"
"10000","1000","0.0006928000003099442"
"10000","1000","0.0005762000009417534"
"10000","1000","0.0005515999998897314"
"10000","1000","0.0006868999991565943"
"10000","1000","0.0006874000001698732"
"50000","5","0.003617300000041723"
"50000","5","0.004314000001177192"
