"n","k","time"
"50","5","0.00005370000042021274"
"50","10","0.000015300000086426735"
"50","50","0.00001674000024795532"
"50","100","0.000013679999858140946"
"50","1000","0.00002353999949991703"
"100","5","0.000006359999999403953"
"100","10","0.0000061000004410743715"
"100","50","0.000012139999866485597"
"100","100","0.000005640000104904174"
"100","1000","0.000003579999879002571"
"500","5","0.000027879999950528144"
"500","10","0.000018320000171661375"
"500","50","0.00001907999999821186"
"500","100","0.000012160000205039979"
"500","1000","0.000018940000236034392"
"1000","5","0.00004638000018894672"
"1000","10","0.000052539999783039085"
"1000","50","0.000043540000170469284"
"1000","100","0.000048159999772906306"
"1000","1000","0.00005390000008046626"
"5000","5","0.0002924200002104044"
"5000","10","0.00027985999993979934"
"5000","50","0.0003343999996781349"
"5000","100","0.0003222999997437"
"5000","1000","0.000316099999845028"
"10000","5","0.0006599600002169609"
"10000","10","0.0006253200002014637"
"10000","50","0.0006189200006425381"
"10000","100","0.0005994599997997285"
"10000","1000","0.0006389800000935794"
"50000","5","0.003739799999818206"
"50000","10","0.003726859999820589"
"50000","50","0.0036289400007575743"
"50000","100","0.0035751200005412105"
"50000","1000","0.0034973999999463557"
"100000","5","0.007293720000237226"
"100000","10","0.00723863999992609"
"100000","50","0.007329340000078083"
"100000","100","0.009041600000113248"
"100000","1000","0.011471380000188946"
"500000","5","0.04184562000036239"
"500000","10","0.040071319999918344"
"500000","50","0.03992936000004411"
"500000","100","0.04062758000046014"
"500000","1000","0.04029402000010014"
"1000000","5","0.08311217999942601"
"1000000","10","0.08147840000055731"
"1000000","50","0.08360962000004948"
"1000000","100","0.08284601999968291"
"1000000","1000","0.08232992000021042"
"5000000","5","0.4627170400001108"
"5000000","10","0.4693455000001937"
"5000000","50","0.47064374000020326"
"5000000","100","0.4675298600003123"
"5000000","1000","0.45962375999912625"
"10000000","5","0.9633897599998861"
"10000000","10","0.9630923600003124"
"10000000","50","0.964048500000313"
"10000000","100","0.964058580000326"
"10000000","1000","0.9715181600000709"
"20000000","5","1.99392694000043"
"20000000","10","2.0195091200005266"
"20000000","50","1.981666299999878"
"20000000","100","1.9894736400004476"
"20000000","1000","2.018684919999912"
"50000000","5","5.19552384000048"
"50000000","10","5.190932299999893"
"50000000","50","5.195850859999657"
"50000000","100","5.190637300000339"
"50000000","1000","5.23334110000059"
